,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
63,TGT,2010-04-06,53.630001,54.09,53.349998,39.427807,4355700,0.740002000000004,14.202193999999999,6401957.142857143,5748300.0,5681261.904761905,2449259.2080388847,False
2452,SPTN,2019-10-01,11.88,11.98,11.61,10.569669,328100,0.370000000000001,1.3103310000000015,410885.71428571426,406571.4285714286,416895.2380952381,231790.14171426353,False
2080,WMT,2018-04-10,86.839996,87.099998,85.660004,80.613747,9127400,1.4399939999999987,6.226248999999996,7071214.285714285,7031135.714285715,7206909.523809524,978082.2247476677,False
2164,SPTN,2018-08-08,23.709999,24.200001,23.4,20.468285,137100,0.8000010000000017,3.241713999999998,280857.14285714284,250621.42857142858,206747.61904761905,399652.1518132732,False
393,TGT,2011-07-26,51.290001,51.349998,50.32,37.715065,5895500,1.029997999999999,13.574935999999994,7383157.142857143,9426150.0,9700600.0,1998914.34666574,False
411,COST,2011-08-19,73.400002,75.489998,73.400002,56.507576,3734400,2.0899959999999993,16.892426,2706628.5714285714,2640028.5714285714,2674742.8571428573,577052.1633125324,True
1914,BIG,2017-08-10,50.939999,51.0,49.849998,42.858425,632900,1.1500020000000006,8.081574000000003,686700.0,1195928.5714285714,1089152.380952381,104697.89191492143,True
377,WMT,2011-07-01,53.189999,53.650002,53.0,41.9151,9479800,0.6500020000000006,11.274898999999998,9394028.57142857,9849321.42857143,9942471.42857143,1558102.2318506446,False
896,WMT,2013-07-26,77.93,78.029999,77.099998,64.244484,5349100,0.9300010000000043,13.685516000000007,4941042.857142857,5452521.428571428,6016128.571428572,944358.6362593138,False
2280,TGT,2019-01-25,71.050003,72.440002,70.940002,67.54068,5544200,1.5,3.509323000000009,4629014.285714285,4681414.285714285,4799323.80952381,1279574.8729598452,False
68,TGT,2010-04-13,55.959999,56.669998,55.869999,41.155388,5908500,0.7999989999999997,14.804611000000001,5104371.428571428,5211121.428571428,6417980.952380952,890735.9761364047,True
921,WMT,2013-08-30,72.639999,73.07,72.580002,60.47477,6066200,0.48999799999999993,12.165229000000004,5818528.571428572,5559378.571428572,6198852.380952381,895641.9815884433,False
2320,WMT,2019-03-25,97.800003,98.620003,97.629997,93.661186,5407400,0.990005999999994,4.138817000000003,7014071.428571428,5925442.857142857,5506938.095238095,1363729.9226902723,True
1574,KR,2016-04-06,38.220001,39.220001,38.220001,34.770966,9143500,1.0,3.449035000000002,6921657.142857143,8237014.285714285,7815885.714285715,1168016.5615963095,False
